pop_end,pop_neg2
2.1457672119140625e-06,2.1457672119140625e-06
9.5367431640625e-07,2.1457672119140625e-06
9.5367431640625e-07,9.5367431640625e-07
0.0,0.0
0.0,0.0
0.0,2.1457672119140625e-06
0.0,0.0
0.0,9.5367431640625e-07
1.1920928955078125e-06,0.0
9.5367431640625e-07,0.0
0.0,9.5367431640625e-07
9.5367431640625e-07,2.1457672119140625e-06
1.1920928955078125e-06,0.0
9.5367431640625e-07,1.1920928955078125e-06
0.0,9.5367431640625e-07
2.1457672119140625e-06,7.152557373046875e-07
9.5367431640625e-07,9.5367431640625e-07
0.0,0.0
0.0,9.5367431640625e-07
1.1920928955078125e-06,0.0
9.5367431640625e-07,9.5367431640625e-07
1.1920928955078125e-06,1.1920928955078125e-06
0.0,7.152557373046875e-07
0.0,1.1920928955078125e-06
1.1920928955078125e-06,1.9073486328125e-06
0.0,0.0
9.5367431640625e-07,0.0
9.5367431640625e-07,2.1457672119140625e-06
0.0,0.0
0.0,0.0
0.0,1.9073486328125e-06
0.0,9.5367431640625e-07
0.0,0.0
9.5367431640625e-07,0.0
9.5367431640625e-07,0.0
0.0,0.0
1.1920928955078125e-06,0.0
0.0,9.5367431640625e-07
0.0,9.5367431640625e-07
9.5367431640625e-07,0.0
9.5367431640625e-07,9.5367431640625e-07
0.0,1.1920928955078125e-06
0.0,0.0
0.0,0.0
0.0,1.9073486328125e-06
0.0,0.0
9.5367431640625e-07,9.5367431640625e-07
1.1920928955078125e-06,0.0
0.0,1.1920928955078125e-06
0.0,0.0
9.5367431640625e-07,0.0
0.0,0.0
0.0,0.0
0.0,9.5367431640625e-07
0.0,0.0
0.0,7.152557373046875e-07
9.5367431640625e-07,9.5367431640625e-07
0.0,1.1920928955078125e-06
0.0,9.5367431640625e-07
9.5367431640625e-07,0.0
9.5367431640625e-07,0.0
0.0,0.0
1.1920928955078125e-06,0.0
0.0,1.1920928955078125e-06
0.0,0.0
0.0,0.0
9.5367431640625e-07,0.0
0.0,9.5367431640625e-07
0.0,0.0
9.5367431640625e-07,1.1920928955078125e-06
0.0,0.0
0.0,9.5367431640625e-07
0.0,0.0
9.5367431640625e-07,0.0
0.0,0.0
0.0,0.0
0.0,9.5367431640625e-07
0.0,9.5367431640625e-07
0.0,9.5367431640625e-07
9.5367431640625e-07,0.0
0.0,0.0
